Species,Treatment,Concentration,Day,FlaskID,ReadingID,RFU
T_weissflogii,Al,0,4,3,2,6240.66
T_weissflogii,Al,0,4,3,3,5736.32
T_weissflogii,Al,0.1,4,1,1,5995.92
T_weissflogii,Al,0.1,4,1,2,5664.27
T_weissflogii,Al,0.1,4,1,3,5432.27
T_weissflogii,Al,0.1,4,2,1,6305.61
T_weissflogii,Al,0.1,4,2,2,6029.28
T_weissflogii,Al,0.1,4,2,3,5897.73
T_weissflogii,Al,0.1,4,3,1,7784.83
T_weissflogii,Al,0.1,4,3,2,7217.72
T_weissflogii,Al,0.1,4,3,3,6843.3
T_weissflogii,Al,1,4,1,1,1966.17
T_weissflogii,Al,1,4,1,2,1905.05
T_weissflogii,Al,1,4,1,3,1746
T_weissflogii,Al,1,4,2,1,2153.44
T_weissflogii,Al,1,4,2,2,1969.68
T_weissflogii,Al,1,4,2,3,1786.87
T_weissflogii,Al,1,4,3,1,2024.24
T_weissflogii,Al,1,4,3,2,1845.44
T_weissflogii,Al,1,4,3,3,1711.43
T_weissflogii,Al,0,5,1,1,10534.94
T_weissflogii,Al,0,5,1,2,10156.23
T_weissflogii,Al,0,5,1,3,9849.37
T_weissflogii,Al,0,5,2,1,1249.07
T_weissflogii,Al,0,5,2,2,11689.94
T_weissflogii,Al,0,5,2,3,11280.03
T_weissflogii,Al,0,5,3,1,14353.77
T_weissflogii,Al,0,5,3,2,13846.21
T_weissflogii,Al,0,5,3,3,12563.07
T_weissflogii,Al,0.1,5,1,1,12149.41
T_weissflogii,Al,0.1,5,1,2,11407.35
T_weissflogii,Al,0.1,5,1,3,10758.54
T_weissflogii,Al,0.1,5,2,1,11179.79
T_weissflogii,Al,0.1,5,2,2,10462.89
T_weissflogii,Al,0.1,5,2,3,9949.85
T_weissflogii,Al,0.1,5,3,1,14622.07
T_weissflogii,Al,0.1,5,3,2,14219.55
T_weissflogii,Al,0.1,5,3,3,13926.47
T_weissflogii,Al,1,5,1,1,2643.31
T_weissflogii,Al,1,5,1,2,2386.44
T_weissflogii,Al,1,5,1,3,2191.77
T_weissflogii,Al,1,5,2,1,2518.88
T_weissflogii,Al,1,5,2,2,2370.61
T_weissflogii,Al,1,5,2,3,2228.73
T_weissflogii,Al,1,5,3,1,2974.29
T_weissflogii,Al,1,5,3,2,2764.86
T_weissflogii,Al,1,5,3,3,2549.79
T_weissflogii,Al,0,6,1,1,25923.16
